Name,SMILES,Affinity
hll_enamine234461,Cc1ccc2c(CN3CCn4cccc4C3c3ccccc3)cc(=O)oc2c1,-9.695
hll_enamine439199,Cc1nn2c(nc(NCc3ccc4NC(=O)Cc4c3)c3ccccc23)c1Cl,-9.694
CHEMBL3891399,Cc1ccc(-c2ccc3c(c2)C(c2ccc(Cl)cc2)=N[C@@H](CC(N)=O)c2onc(C)c2-3)cn1,-9.694
CHEMBL5075119,Cc1noc(C)c1-c1cc(C(N)=O)c2c3ccc(C(C)(C)O)cc3n(CC3CCOCC3)c2c1,-9.693
hll_enamine118890,O=C(N1CCc2c(cccc2C1)N1CCOC1=O)c1cccc2ccccc12,-9.691
hll_enamine248180,CC(=O)N1CC(Oc2ccccc12)C(=O)Nc1cc(C)nc2ccccc12,-9.69
hll_enamine201646,CCn1c(NC(=O)c2cc(C)nc3cc(F)ccc23)nc2ccccc12,-9.686
brd4_chemdiv379,c1(c2c(c3c(nc2)nc(cc3)C)Nc2cc(c(cc2)C)C)nc(no1)C,-9.686
brd_enamine1105,NC(=O)N1CCCc2ccc(NC(=O)c3cncnc3c3ccccc3)cc12,-9.685
brd4_chemdiv4257,c1(c2c(=O)oc3c(c2)cc(cc3Cl)Cl)c2c(oc(=O)c1)c(c(cc2)O)C,-9.683
hll_enamine91765,Cc1nc(Cc2noc(n2)c2cc(nc3ccc(C)cc23)C2CC2)no1,-9.683
brd_enamine13265,NC(=O)C1CN(c2ncnc3sc(cc23)c2ccccc2)c2ccccc2O1,-9.68
brd_enamine1631,O=C(Nc1nc2ccccc2[nH]1)c1cc(nc2ccccc12)c1ccncc1,-9.679
CHEMBL5074708,Cc1noc(C)c1-c1cc(C(N)=O)c2c3cc(C(C)(C)O)ccc3n(Cc3ccccc3)c2c1,-9.67
hll_enamine238535,OC(=O)C1CN(C(=O)c2cc(O)nc3ccccc23)c2ccccc12,-9.67
hll_enamine44292,Cc1nnc2CCC(Cn12)NC(=O)c1nn(c2CCCCc12)c1cccc(F)c1,-9.67
hll_enamine255654,O=C(Nc1ccc2CCNC(=O)c2c1)N1CC(C2CCCCC12)c1ccccc1,-9.669
brd4_chemdiv272,c12c(S(=O)(=O)c3ccc(cc3)Br)nnn1c1c(c(n2)Nc2cc(c(cc2)OC)OC)scc1,-9.668
brd_enamine5604,[O-][N+](=O)c1ncccc1Oc1nc(nc2ccccc12)c1ccccc1,-9.664
hll_enamine125881,Cc1ccc2nc3CCCCc3c(C(=O)Nc3nnc(s3)C(F)F)c2c1,-9.662
hll_enamine176089,NC(=O)CC1CCN(CC1)c1cc(nc2c(F)cc(Br)cc12)C(F)(F)F,-9.662
hll_enamine250588,Fc1ccc(cc1)n1nc(c2ccc3OCCOc3c2)c2ccccc2c1=O,-9.661
brd_enamine2468,CC(=O)N1N=C(CC1c1ccccc1)c1c(C)nc2ccccc2c1c1ccc(Cl)cc1,-9.66
brd4_chemdiv666,c12n(nc(c1c(C(F)(F)F)cc(n2)c1cnccc1)C)c1cc(c(cc1)C)C,-9.659
hll_enamine361554,Cc1ccc2nc(cc(C(=O)N3CCC(CC3)C(=O)N)c2c1)c1ccccc1,-9.656
hll_enamine184961,NC(=O)C1CN(C(=O)c2cccc(NC(=O)c3cccs3)c2)c2ccccc2O1,-9.655
hll_enamine310675,COc1ccc2CC(C3CCCCC3)N(Cc2c1)C(=O)c1ccc(=O)n(C)n1,-9.655
brd_enamine1129,Fc1ccc(cc1F)c1csc(NC(=O)C2CC(=O)Nc3ccccc23)n1,-9.651
brd4_chemdiv381,c1(c2c(c3c(nc2)nc(cc3)C)Nc2cc(c(cc2)C)F)nc(no1)C,-9.651
brd_enamine13050,CC1(NC(=O)NC1=O)c1cccc(c1)c1noc(n1)C1CC(=O)Nc2cc(F)ccc12,-9.65
brd4_chemdiv1958,c12c(S(=O)(=O)c3ccc(cc3)Br)nnn1c1c(c(n2)NCc2ccc(cc2)C)scc1,-9.65
CHEMBL3654286,Cc1nn(C2CN(C)C2)c2c1C(c1ccc(Cl)cc1)N(c1cc(C)c3nnc(C)n3c1)C2=O,-9.644
CHEMBL3650946,COc1ncccc1-n1nc(C)c2c1C(=O)N(c1cc(C)c3nnc(C)n3c1)C2c1ccc(Cl)cc1,-9.64
hll_enamine126537,O=C(NC(C1CCCCC1)c1ccccc1)c1cccc(CN2CCCC2=O)c1,-9.639
hll_enamine383178,Fc1ccc(cc1)n1nc(C(=O)NC2CCCC32CCOCC3)c2CCCCc12,-9.638
hll_enamine306973,Fc1ccc(F)c2CN(CCc12)C(=O)c1cccc(n1)n1cccn1,-9.637
hll_enamine345683,FC(F)(F)C1CCCN(C1)C(=O)c1cc(nc2ccccc12)C1CC1,-9.628
hll_enamine327862,Cc1noc2nc(C)cc(C(=O)N3CCC(CC3)C3=CN=C4CC=CC=C34)c12,-9.626
brd4_chemdiv3339,c12c(S(=O)(=O)c3ccc(cc3)Br)nnn1c1c(c(n2)NC(c2ccccc2)C)scc1,-9.626
hll_enamine53766,Fc1cccc(c1)c1ccnc(n1)C1CCN(CC1)C(=O)[C@@H]1CC(=O)NC(=O)N1,-9.626
hll_enamine330601,Cc1cc(F)cc2CCCN(C(=O)c3ccc4ccccc4n3)c12,-9.625
hll_enamine201275,FC(F)(F)c1nc2ccccc2n1Cc1cc(=O)oc2cc3CCCc3cc12,-9.624
hll_enamine250769,Cc1cccc2-c3nc(=O)c(nn3C3N(C(=O)c4ccccc34)c12)c1ccccc1,-9.621
hll_enamine438644,COc1cccc2CCCN(C(=O)c3ccc(CS(=O)(=O)c4ccccc4)cc3)c12,-9.619
brd_enamine7930,CC(=O)N(Cc1cn(nc1c1ccc2ccccc2c1)c1ccccc1)Cc1ccccc1,-9.615
brd4_chemdiv66,N1(CCc2c(C1)c(nc(n2)N1CCN(CC1)C)Oc1ccc(c(c1)F)F)C(=O)c1c(cccc1F)F,-9.612
brd_enamine12759,O=C(NCC(NC(=O)c1cccnc1)c1ccc2ccccc2c1)C1CCCc2cn[nH]c12,-9.611
hll_enamine7218,Cc1c(nnn1c1cccc2ncccc12)C(=O)Nc1ncccc1O,-9.61
brd4_chemdiv1715,c12c(c(c3c(c2)CN(CO3)Cc2ccc(F)cc2)C)oc(=O)cc1c1ccccc1,-9.608
hll_enamine302677,O=C(C1CCC2(CC1)NC(=O)NC2=O)N1CCCC1c1ccccc1,-9.607
brd4_chemdiv905,N1(CCc2c(C1)c(nc(n2)N1CCN(CC1)C)Oc1ccc(c(c1)C)F)C(=O)c1ccc(cc1F)F,-9.606
CHEMBL4203276,COc1cc2c(cc1-c1c(C)noc1C)[nH]c1nc(C)nc(-c3cc(C)nc4ccccc34)c12,-9.604
hll_enamine438680,CN1CCN(C(=O)Cc2ccc(cc2)n2cccn2)c2nc3ccccc3nc12,-9.603
CHEMBL4859501,Cc1noc(C)c1-c1ccc2c(c1)C(c1ccccc1)N(Cc1nnc(-c3ccccc3)o1)C(=O)N2C,-9.603
hll_enamine135932,CC1CN(CC(C)O1)C(=O)C1CCN(CC1)c1ncnc2cccc(F)c12,-9.6
brd_enamine6140,CCc1n[nH]c(n1)c1ccccc1NC(=O)c1ccc2[nH]c(=O)oc2c1,-9.598
