Name,SMILES,Affinity
ab_enamine13626,Cc1nnc([nH]1)c1cccc(CNS(=O)(=O)c2ccc3CCNC(=O)c3c2)c1,-8.375
ab_enamine26129,Cc1nc2cc(F)ccc2cc1C(=O)OCc1cc(=O)oc2cc(O)ccc12,-8.373
ab_enamine27959,[O-][N+](=O)c1cccc(c1)C(=O)NCC#Cc1ccc(cc1)C(F)(F)F,-8.37
ab_enamine17963,COc1cc(ccc1S(=O)(=O)N1CCCC(C1)c1nnc2ccccn12)[N+](=O)[O-],-8.369
ab_enamine24048,[O-][N+](=O)c1ccc(cc1)c1cc([nH]n1)C(=O)N1CCC(=CC1)C(F)(F)F,-8.364
ab_enamine18576,COC(=O)Nc1cc(NC(=O)C(=O)N2CCN(CC2)C(=O)c2ccc(O)cc2)ccc1F,-8.361
ab_enamine18922,Cc1nn(C)c(N2CCN(CC2)S(=O)(=O)c2cccc(F)c2)c1[N+](=O)[O-],-8.36
ab_enamine25356,[O-][N+](=O)c1cccc(CNC(=O)c2cnc3ccc(F)cc3c2)c1,-8.359
ab_enamine12106,Cc1ccc(cc1)S(=O)(=O)NCCNC(=O)c1nonc1N,-8.357
ab_enamine22445,O=C(NC(CC1=CN=C2CC=CC=C12)C(=O)N1CCC2(CC(=O)N2)CC1)c1ccc2ccccc2c1,-8.356
ab_enamine24194,[O-][N+](=O)c1ccc(cc1)C1=NN(C(=O)C1)c1cccc(C#N)c1,-8.356
ab_enamine21314,Cc1ccc(Cc2nnc(NC(=O)c3n[nH]cc3[N+](=O)[O-])s2)cc1,-8.353
ab_enamine18167,CC(C)c1nnc(NC(=O)NCc2ccc(cc2)S(=O)(=O)N)s1,-8.351
ab_enamine26829,Cc1ccc(cc1NC(=O)c1c[nH]c2ccc(cc12)[N+](=O)[O-])N1CCOCC1,-8.344
ab_enamine16485,CC(=O)c1ccc(cc1)S(=O)(=O)Nc1nnc(o1)c1cccc(C#N)c1,-8.343
ab_enamine4534,CNS(=O)(=O)c1ccccc1N1CCN(CC1)C(=O)c1cnn(c1C)c1ccc(=O)[nH]n1,-8.343
ab_enamine27148,CC1(C)Cc2cccc(OC3CCN(Cn4ncc5ccc(cc45)[N+](=O)[O-])CC3)c2O1,-8.342
ab_enamine15784,Cc1occc1C(=O)Nc1cc(NC(=O)N2CCCC(C2)NS(=O)(=O)C)ccc1F,-8.341
ab_enamine28580,[O-][N+](=O)c1cc(ccc1N1CCCCC1c1nc2ccccc2o1)S(=O)(=O)C(F)F,-8.338
ab_enamine4100,Oc1ccc(cc1[N+](=O)[O-])S(=O)(=O)Nc1ccc(cc1)C(=O)N1CCOCC1,-8.337
ab_enamine22378,Cc1cc(ccc1C(=O)Nc1cnn(c1)c1ncccn1)[N+](=O)[O-],-8.336
ab_enamine23405,CN(C(=O)c1cn(nn1)c1cccc(c1)[N+](=O)[O-])c1ccc2OCOc2c1,-8.336
ab_enamine27097,[O-][N+](=O)c1cn(CC(=O)N2c3ccccc3CCc3ccccc23)cn1,-8.335
ab_enamine27649,Cc1cc(c(C)s1)c1cc(C(=O)Nc2cccc(c2)N2CCC2=O)c2c(C)noc2n1,-8.331
ab_enamine12790,NS(=O)(=O)c1ccc(NC(=O)Cn2cnc3n(ncc3c2=O)c2ccccc2)cc1,-8.331
